origem,alvo,h,modelo,y_true,media,q10,q20,q30,q40,q50,q60,q70,q80,q90
2019-12-01,2020-02-01,2,ar1_logdiff,0.000982,-0.021665,-0.058798,-0.042223,-0.035565,-0.030225,-0.020247,-0.010017,-0.006592,0.001567,0.012789
2020-01-01,2020-02-01,1,ardl_logdiff,0.000982,-0.013645,-0.031509,-0.024079,-0.019751,-0.018103,-0.013124,-0.008600,-0.006231,-0.002020,0.007240
2020-01-01,2020-02-01,1,ar1_logdiff,0.000982,-0.014866,-0.032867,-0.024430,-0.021566,-0.018962,-0.014104,-0.009283,-0.007728,-0.003773,0.001507
2020-01-01,2020-03-01,2,ardl_logdiff,-0.073804,-0.009890,-0.053017,-0.035079,-0.024630,-0.020652,-0.008630,0.002291,0.008011,0.018177,0.040533
2020-01-01,2020-03-01,2,ar1_logdiff,-0.073804,-0.008340,-0.045852,-0.028271,-0.022302,-0.016876,-0.006752,0.003293,0.006534,0.014776,0.025779
2020-02-01,2020-03-01,1,ardl_logdiff,-0.073804,-0.002642,-0.020439,-0.012668,-0.008791,-0.007334,-0.000855,0.002273,0.005592,0.008721,0.017886
2020-02-01,2020-03-01,1,ar1_logdiff,-0.073804,0.001162,-0.016972,-0.008546,-0.005640,-0.002938,0.003283,0.006525,0.008383,0.012197,0.017200
2020-02-01,2020-04-01,2,ardl_logdiff,-0.299859,-0.010911,-0.053877,-0.035117,-0.025758,-0.022240,-0.006598,0.000953,0.008967,0.016521,0.038648
2020-02-01,2020-04-01,2,ar1_logdiff,-0.299859,-0.006269,-0.044012,-0.026474,-0.020427,-0.014802,-0.001855,0.004893,0.008760,0.016698,0.027111
2020-03-01,2020-04-01,1,ardl_logdiff,-0.299859,-0.045514,-0.063188,-0.055336,-0.051615,-0.049589,-0.044620,-0.040654,-0.037717,-0.034155,-0.025353
2020-03-01,2020-04-01,1,ar1_logdiff,-0.299859,-0.050034,-0.067307,-0.060056,-0.056110,-0.053508,-0.048455,-0.043854,-0.041929,-0.038053,-0.032839
2020-03-01,2020-05-01,2,ardl_logdiff,-0.224864,-0.045956,-0.088625,-0.069669,-0.060685,-0.055795,-0.043800,-0.034224,-0.027135,-0.018534,0.002716
2020-03-01,2020-05-01,2,ar1_logdiff,-0.224864,-0.066164,-0.102233,-0.087092,-0.078853,-0.073420,-0.062868,-0.053260,-0.049240,-0.041147,-0.030259
2020-04-01,2020-05-01,1,ardl_logdiff,-0.224864,-0.169632,-0.187183,-0.179251,-0.175684,-0.173090,-0.169632,-0.164827,-0.162274,-0.158278,-0.149839
2020-04-01,2020-05-01,1,ar1_logdiff,-0.224864,-0.308112,-0.325077,-0.316029,-0.311722,-0.306996,-0.303263,-0.300310,-0.297960,-0.294179,-0.289084
2020-04-01,2020-06-01,2,ardl_logdiff,-0.118900,-0.171139,-0.213510,-0.194359,-0.185749,-0.179487,-0.171139,-0.159538,-0.153374,-0.143727,-0.123353
2020-04-01,2020-06-01,2,ar1_logdiff,-0.118900,-0.304367,-0.338299,-0.320201,-0.311586,-0.302134,-0.294668,-0.288761,-0.284061,-0.276498,-0.266309
2020-05-01,2020-06-01,1,ardl_logdiff,-0.118900,-0.157916,-0.181729,-0.172190,-0.165864,-0.162965,-0.156356,-0.152810,-0.146673,-0.140302,-0.130558
2020-05-01,2020-06-01,1,ar1_logdiff,-0.118900,-0.234574,-0.248988,-0.243760,-0.238096,-0.234149,-0.228248,-0.225986,-0.223193,-0.219436,-0.215565
2020-05-01,2020-07-01,2,ardl_logdiff,-0.027288,-0.253243,-0.310733,-0.287703,-0.272433,-0.265433,-0.249477,-0.240915,-0.226100,-0.210720,-0.187196
2020-05-01,2020-07-01,2,ar1_logdiff,-0.027288,-0.232068,-0.261136,-0.250593,-0.239171,-0.231212,-0.219311,-0.214750,-0.209118,-0.201540,-0.193735
